SENDER,TEXTS,❤️,😍,💖,🧡,💕,😘,🥰,LOVE.M,LOVE.H,LOVE.B,LOVE.Me,LOVE,😂,EMOS,EMOS.M,EMOS.H,EMOS.B,EMOS.Me,EMOS,!,EXC.M,EXC.H,EXC.B,EXC.Me,CAPS,CAPS.M,CAPS.H,CAPS.B,CAPS.Me,CALL,RELEVANCE
Me.H, 🥳🥳🥳🥳🥳,0,0,0,0,0,0,0,0,0,0,0,0,,5,0,0,0,5,10,0,0,0,0,0,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,STAY
Me.M, 🥺,0,0,0,0,0,0,0,0,0,0,0,0,,1,0,0,0,1,2,0,0,0,0,0,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,STAY
Me.H, 🥺❤️,1,0,0,0,0,0,0,0,0,0,1,1,,1,0,0,0,1,2,0,0,0,0,0,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,STAY
Housies2, 😂,0,0,0,0,0,0,0,0,0,0,0,0,,1,0,1,0,0,2,0,0,0,0,0,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,STAY
Housies2, 😂,0,0,0,0,0,0,0,0,0,0,0,0,,1,0,1,0,0,2,0,0,0,0,0,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,STAY
Housies1, 😂,0,0,0,0,0,0,0,0,0,0,0,0,,1,0,1,0,0,2,0,0,0,0,0,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,STAY
Housies1, 😂,0,0,0,0,0,0,0,0,0,0,0,0,,1,0,1,0,0,2,0,0,0,0,0,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,STAY
Housies1, 😂,0,0,0,0,0,0,0,0,0,0,0,0,,1,0,1,0,0,2,0,0,0,0,0,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,STAY
Me.M, 😂😂,0,0,0,0,0,0,0,0,0,0,0,0,,2,0,0,0,2,4,0,0,0,0,0,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,STAY
Me.H, 😂😂,0,0,0,0,0,0,0,0,0,0,0,0,,2,0,0,0,2,4,0,0,0,0,0,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,STAY
Housies2, 😂😂,0,0,0,0,0,0,0,0,0,0,0,0,,2,0,2,0,0,4,0,0,0,0,0,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,STAY
Housies2, 😂😂,0,0,0,0,0,0,0,0,0,0,0,0,,2,0,2,0,0,4,0,0,0,0,0,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,STAY
Housies2, 😂😂,0,0,0,0,0,0,0,0,0,0,0,0,,2,0,2,0,0,4,0,0,0,0,0,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,STAY
Me.M, 😂😂 hahahaa,0,0,0,0,0,0,0,0,0,0,0,0,,2,0,0,0,2,4,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,STAY
Me.H, 😂😂 omgg,0,0,0,0,0,0,0,0,0,0,0,0,,2,0,0,0,2,4,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,STAY
Me.H, 😂😂😂,0,0,0,0,0,0,0,0,0,0,0,0,,3,0,0,0,3,6,0,0,0,0,0,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,STAY
Housies1, 😂😂😂,0,0,0,0,0,0,0,0,0,0,0,0,,3,0,3,0,0,6,0,0,0,0,0,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,STAY
Housies1, 😂😂😂,0,0,0,0,0,0,0,0,0,0,0,0,,3,0,3,0,0,6,0,0,0,0,0,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,STAY
Me.H, 😂😂😂 HAHAHHAA BUNDA,0,0,0,0,0,0,0,0,0,0,0,0,,3,0,0,0,3,6,0,0,0,0,0,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,STAY
Me.H, 😂😂😂 kirain delayy auspost,0,0,0,0,0,0,0,0,0,0,0,0,,3,0,0,0,3,6,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,STAY
Housies2, 😂😂😂 samaaa tdi i ketemu dia pas kluar dri toilet,0,0,0,0,0,0,0,0,0,0,0,0,,3,0,3,0,0,6,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,STAY
Me.H, 😂😂😂😂,0,0,0,0,0,0,0,0,0,0,0,0,,4,0,0,0,4,8,0,0,0,0,0,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,STAY
Housies2, 😂😂😂😂,0,0,0,0,0,0,0,0,0,0,0,0,,4,0,4,0,0,8,0,0,0,0,0,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,STAY
Housies1, 😂😂😂😂,0,0,0,0,0,0,0,0,0,0,0,0,,4,0,4,0,0,8,0,0,0,0,0,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,STAY
Housies2, 😂😂😂😂😂,0,0,0,0,0,0,0,0,0,0,0,0,,5,0,5,0,0,10,0,0,0,0,0,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,STAY
Housies1, 😂😂😂😂😂,0,0,0,0,0,0,0,0,0,0,0,0,,5,0,5,0,0,10,0,0,0,0,0,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,STAY
Housies1, 😂😂😂yeahhh I meant for it to be my afternoon workout sekalian wkwk,0,0,0,0,0,0,0,0,0,0,0,0,,3,0,3,0,0,6,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,STAY
Mom, 😃,0,0,0,0,0,0,0,0,0,0,0,0,,1,1,0,0,0,2,0,0,0,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,STAY
Mom, 😅,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,STAY
Housies1, 😌,0,0,0,0,0,0,0,0,0,0,0,0,,1,0,1,0,0,2,0,0,0,0,0,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,STAY
Me.H, 😍,0,1,0,0,0,0,0,0,0,0,1,1,,0,0,0,0,0,0,0,0,0,0,0,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,STAY
Me.H, 😍😍😍,0,3,0,0,0,0,0,0,0,0,3,3,,0,0,0,0,0,0,0,0,0,0,0,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,STAY
Me.H, 😍😍😍 adding to list,0,3,0,0,0,0,0,0,0,0,3,3,,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,STAY
Housies1, 😍😍😍🥳🥳🥳Wihiiiyy!!!!!!!!!!!,0,3,0,0,0,0,0,0,3,0,0,3,,3,0,3,0,0,6,11,0,11,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,STAY
Housies2, 😍😍😍😍,0,4,0,0,0,0,0,0,4,0,0,4,,0,0,0,0,0,0,0,0,0,0,0,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,STAY
Housies1, 😍😍😍😍,0,4,0,0,0,0,0,0,4,0,0,4,,0,0,0,0,0,0,0,0,0,0,0,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,STAY
Me.M, 😭😭,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,STAY
Housies1, 😭hahaha,0,0,0,0,0,0,0,0,0,0,0,0,,1,0,1,0,0,2,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,STAY
Housies1, 😱,0,0,0,0,0,0,0,0,0,0,0,0,,1,0,1,0,0,2,0,0,0,0,0,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,STAY
Housies2, 😱😱😱,0,0,0,0,0,0,0,0,0,0,0,0,,3,0,3,0,0,6,0,0,0,0,0,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,STAY
Housies1, 🙏🏼,0,0,0,0,0,0,0,0,0,0,0,0,,2,0,2,0,0,4,0,0,0,0,0,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,STAY
Me.H, $20 jessiee thank youu☺️,0,0,0,0,0,0,0,0,0,0,0,0,,1,0,0,0,1,2,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,STAY
Housies1, 10.35 I FOUND OUT,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,STAY
Mom, Aaah iyaa 😍,0,1,0,0,0,0,0,1,0,0,0,1,,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,STAY
Housies1, Ada satu yang kosongg. Tapi tadi i was in rush jd gakeburu bawa masuk🙈,0,0,0,0,0,0,0,0,0,0,0,0,,1,0,1,0,0,2,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,STAY
Me.M, Ada tanah kosong😂,0,0,0,0,0,0,0,0,0,0,0,0,,1,0,0,0,1,2,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,STAY
Mom, Ade 🤗,0,0,0,0,0,0,0,0,0,0,0,0,,1,1,0,0,0,2,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,STAY
Me.M, Ade’s project got accepted for the grantt ❤️🥰,1,0,0,0,0,0,1,0,0,0,2,2,,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,STAY
Mom, All the time ❤️🙏🏻,1,0,0,0,0,0,0,1,0,0,0,1,,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,STAY
Housies1, ALL wrong😂,0,0,0,0,0,0,0,0,0,0,0,0,,1,0,1,0,0,2,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,STAY
Mom," Amin 🙏🏻 pelan tapi maju, ga jalan di tempat ❤️😘",1,0,0,0,0,1,0,2,0,0,0,2,,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,STAY
Me.H, and do we want chips🙈,0,0,0,0,0,0,0,0,0,0,0,0,,1,0,0,0,1,2,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,STAY
Me.H, Anyone need groceries guys? ☺️,0,0,0,0,0,0,0,0,0,0,0,0,,1,0,0,0,1,2,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,STAY
Me.M, Atuh blm keluar sebulan HAHAHA,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,STAY
Mom, Biasanya jongkok ampe sakit pinggang 🤣,0,0,0,0,0,0,0,0,0,0,0,0,,1,1,0,0,0,2,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,STAY
Housies1, Can i titip cake from here I ngidam😂,0,0,0,0,0,0,0,0,0,0,0,0,,1,0,1,0,0,2,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,STAY
Me.H, Cannn❤️,1,0,0,0,0,0,0,0,0,0,1,1,,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,STAY
Housies1, Delay*😂,0,0,0,0,0,0,0,0,0,0,0,0,,1,0,1,0,0,2,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,STAY
Mom," Di saat situasi kyk gini.. itu tuh jd 1 berkat ya, bahagia bgt ❤️",1,0,0,0,0,0,0,1,0,0,0,1,,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,STAY
Housies1, Dia uda pack blm?🙈,0,0,0,0,0,0,0,0,0,0,0,0,,1,0,1,0,0,2,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,STAY
Housies1, Eh dia gak ada siomay ya nevermind😂,0,0,0,0,0,0,0,0,0,0,0,0,,1,0,1,0,0,2,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,STAY
Housies1, Eh jo I kurang 5 dollar sekalian ya dari beras kmrn☺️,0,0,0,0,0,0,0,0,0,0,0,0,,1,0,1,0,0,2,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,STAY
Me.H, EHH GPAPA,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,STAY
Housies1, Ehh how much was the cake yahh?😆,0,0,0,0,0,0,0,0,0,0,0,0,,1,0,1,0,0,2,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,STAY
Mom," Ga de, pak yudi sama tkg kebun yg biasa le rmh 😂",0,0,0,0,0,0,0,0,0,0,0,0,,1,1,0,0,0,2,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,STAY
Mom, Ga pelan pelan jg siiih 🙄,0,0,0,0,0,0,0,0,0,0,0,0,,1,1,0,0,0,2,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,STAY
Housies2, Goodmorningg maap telat🙈,0,0,0,0,0,0,0,0,0,0,0,0,,1,0,1,0,0,2,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,STAY
Mom," Gpp de ☺️ kpn aja ade mau telp, lemme know ya 🤗",0,0,0,0,0,0,0,0,0,0,0,0,,1,1,0,0,0,2,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,STAY
Housies1, guys dis gud ❤️ hihi sparkshorts di disney,1,0,0,0,0,0,0,0,1,0,0,1,,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,STAY
Me.H, Guys idk how to say this but our bins are missing??? 🥲🥲🥲,0,0,0,0,0,0,0,0,0,0,0,0,,3,0,0,0,3,6,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,STAY
Me.H, Guys idm split tho😂,0,0,0,0,0,0,0,0,0,0,0,0,,1,0,0,0,1,2,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,STAY
Housies1, Guys quick late night 💩-related yet necessary quesfion(?)🤣,0,0,0,0,0,0,0,0,0,0,0,0,,1,0,1,0,0,2,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,STAY
Me.H, HAHA LUCU BGTT,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,STAY
Me.H, HAHA SO CUTE,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,STAY
Housies1, HAHAHA salah ya🤣,0,0,0,0,0,0,0,0,0,0,0,0,,1,0,1,0,0,2,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,STAY
Mom," Hahaha.. abis tdnya kumuh gt kesannya, sekrg lbh fresh 😁",0,0,0,0,0,0,0,0,0,0,0,0,,1,1,0,0,0,2,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,STAY
Housies2, Hahahah dua2 nya ilang?😂,0,0,0,0,0,0,0,0,0,0,0,0,,1,0,1,0,0,2,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,STAY
Me.H, HAHAHAH THANK UUU,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,STAY
Housies1, Hahahaha😂gogetfuuuuud,0,0,0,0,0,0,0,0,0,0,0,0,,1,0,1,0,0,2,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,STAY
Housies1, Hahahahah😂😂😂,0,0,0,0,0,0,0,0,0,0,0,0,,3,0,3,0,0,6,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,STAY
Housies1, HAHAHAHAHA,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,STAY
Housies1, HAHAHAHAHHA,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,STAY
Housies1, HAHAHHAHA🤣🤣🤣,0,0,0,0,0,0,0,0,0,0,0,0,,3,0,3,0,0,6,0,0,0,0,0,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,STAY
Housies1, HAHAHHAHAHAJJAJA,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,STAY
Mom, Happy for you ade 😘🤗,0,0,0,0,0,1,0,1,0,0,0,1,,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,STAY
Me.M, Happy sunday mamii❤️,1,0,0,0,0,0,0,0,0,0,1,1,,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,STAY
Mom, Happy sunday ya ade ❤️,1,0,0,0,0,0,0,1,0,0,0,1,,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,STAY
Me.H, Helloo - i got us challah and croissants from baker bleu 😌 ill put in the kitchen hihi help urself yaa(why did i just choose one type of croissants 😂 stupid),0,0,0,0,0,0,0,0,0,0,0,0,,2,0,0,0,2,4,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,STAY
Housies1, HEMMMM,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,STAY
Housies1, Hey housies I'm ordering fishbowl tonight (and maybe sometimes this week again🤣),0,0,0,0,0,0,0,0,0,0,0,0,,1,0,1,0,0,2,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,STAY
Me.M, Hihihi🥰🥰🥰,0,0,0,0,0,0,3,0,0,0,3,3,,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,STAY
Housies1, Hm gud question 🤣,0,0,0,0,0,0,0,0,0,0,0,0,,1,0,1,0,0,2,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,STAY
Housies1, Hmmm gak kepikiran😂 are u guys getting anything,0,0,0,0,0,0,0,0,0,0,0,0,,1,0,1,0,0,2,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,STAY
Me.H, HMMMM,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,STAY
Housies1, Hopefully not🤣,0,0,0,0,0,0,0,0,0,0,0,0,,1,0,1,0,0,2,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,STAY
Housies1, HOUSIES FYI,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,STAY
Housies1, housiessss wanna order grilld (40% off) tonight or tomorrow while it lastsss?🤣hihi,0,0,0,0,0,0,0,0,0,0,0,0,,1,0,1,0,0,2,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,STAY
Me.M, How are you mam🥺,0,0,0,0,0,0,0,0,0,0,0,0,,1,0,0,0,1,2,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,STAY
Me.M, Huahahah ohh okeey gpp mam😂,0,0,0,0,0,0,0,0,0,0,0,0,,1,0,0,0,1,2,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,STAY
Housies1, I can pi k up tmr 😆,0,0,0,0,0,0,0,0,0,0,0,0,,1,0,1,0,0,2,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,STAY
Me.H, I engga sherr thankyouu❤️,1,0,0,0,0,0,0,0,0,0,1,1,,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,STAY
Housies1, I JG BARU TAU I MAU KE GEREJA,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,STAY
Housies1, I jg change my mind pengen indomie tiba2🤣,0,0,0,0,0,0,0,0,0,0,0,0,,1,0,1,0,0,2,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,STAY
Me.H, I never saw this!!,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0,0,0,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,STAY
Housies1, I'm gooood thank u jo☺️,0,0,0,0,0,0,0,0,0,0,0,0,,1,0,1,0,0,2,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,STAY
Me.H, Im good jesii💜 thank uu,0,0,0,1,0,0,0,0,0,0,1,1,,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,STAY
Me.M, Iya ade baik2 kok mamm.. lg lmyn bnyk stress sih hehehe 🥲 makanya blom sempet nelponn,0,0,0,0,0,0,0,0,0,0,0,0,,1,0,0,0,1,2,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,STAY
Mom," Iya de, santaai 😃",0,0,0,0,0,0,0,0,0,0,0,0,,1,1,0,0,0,2,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,STAY
Housies1, IYA ILUSI😂,0,0,0,0,0,0,0,0,0,0,0,0,,1,0,1,0,0,2,0,0,0,0,0,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,STAY
Housies1, Iya it's time🤣,0,0,0,0,0,0,0,0,0,0,0,0,,1,0,1,0,0,2,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,STAY
Housies1, IYA WOY,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,STAY
Me.M, Iyaa - meski ade belom tau ini ngerjainnya gimana ato hasilnya kyk apa😂,0,0,0,0,0,0,0,0,0,0,0,0,,1,0,0,0,1,2,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,STAY
Mom, Iyaa nanti mom ksh pot yg besar 2 😁,0,0,0,0,0,0,0,0,0,0,0,0,,1,1,0,0,0,2,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,STAY
Mom, Iyaa puji Tuhan de ❤️ semoga ga balik lg 🙏🏻🙏🏻🙏🏻,1,0,0,0,0,0,0,1,0,0,0,1,,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,STAY
